Fecha,Cantidad(kg),Cantidad(tn),Precio($) Prom,FOB
2006/01,10045884,"10045,884","1,37",13809
2006/02,1649731,"1649,731","1,07",1763
2006/03,654574,"654,574","0,94",616
2006/04,90540,"90,54","2,03",184
2006/05,239,"0,239","0,00",0
2006/06,60,"0,06","0,00",0
2006/07,40,"0,04","0,00",0
2006/08,0,0,"0,00",0
2006/09,0,0,"0,00",0
2006/10,1401351,"1401,351","2,86",4003
2006/11,3964455,"3964,455","2,67",10566
2006/12,10062714,"10062,714","1,82",18279
2007/01,10467854,"10467,854","1,66",17400
2007/02,1985785,"1985,785","1,35",2673
2007/03,614384,"614,384","1,21",773
2007/04,44760,"44,76","4,11",184
2007/05,96640,"96,64","3,39",328
2007/06,23630,"23,63","1,69",40
2007/07,0,0,"0,00",0
2007/08,0,0,"0,00",0
2007/09,0,0,"0,00",0
2007/10,441884,"441,884","3,36",1486
2007/11,3703015,"3703,015","3,46",12814
2007/12,8690472,"8690,472","2,85",24797
2008/01,13707510,"13707,51","1,97",27032
2008/02,9759900,"9759,9","1,47",14372
2008/03,2120808,"2120,808","1,16",2455
2008/04,334658,"334,658","1,17",391
2008/05,56633,"56,633","2,90",164
2008/06,67296,"67,296","1,90",128
2008/07,16200,"16,2","1,11",18
2008/08,0,0,"0,00",0
2008/09,70828,"70,828","1,99",141
2008/10,1203111,"1203,111","2,18",2625
2008/11,6434539,"6434,539","2,78",17881
2008/12,10111951,"10111,951","2,03",20498
2009/01,17933692,"17933,692","1,74",31230
2009/02,3642706,"3642,706","1,49",5429
2009/03,1694628,"1694,628","1,46",2467
2009/04,0,0,"0,00",0
2009/05,203640,"203,64","2,37",483
2009/06,110306,"110,306","1,51",167
2009/07,20646,"20,646","1,55",32
2009/08,10070,"10,07","1,69",17
2009/09,37392,"37,392","1,66",62
2009/10,2432724,"2432,724","2,63",6407
2009/11,10187810,"10187,81","2,85",29055
2009/12,23640692,"23640,692","2,49",58899
2010/01,19677160,"19677,16","2,15",42303
2010/02,8730012,"8730,012","2,01",17525
2010/03,1120498,"1120,498","1,68",1882
2010/04,78444,"78,444","2,14",168
2010/05,76255,"76,255","0,47",36
2010/06,19767,"19,767","2,07",41
2010/07,5312,"5,312","2,26",12
2010/08,18696,"18,696","1,55",29
2010/09,120146,"120,146","2,04",245
2010/10,2542341,"2542,341","2,64",6705
2010/11,15420759,"15420,759","2,86",44156
2010/12,28931856,"28931,856","2,47",71494
2011/01,26353154,"26353,154","2,25",59254
2011/02,13054174,"13054,174","2,13",27845
2011/03,3552937,"3552,937","1,79",6366
2011/04,971626,"971,626","1,59",1541
2011/05,17,"0,017","0,00",0
2011/06,93490,"93,49","1,84",172
2011/07,39216,"39,216","1,96",77
2011/08,74784,"74,784","2,38",178
2011/09,186960,"186,96","2,36",442
2011/10,5356280,"5356,28","2,56",13735
2011/11,28231278,"28231,278","2,84",80140
2011/12,41901248,"41901,248","2,65",111053
2012/01,32274010,"32274,01","2,30",74298
2012/02,17603342,"17603,342","2,01",35369
2012/03,4440218,"4440,218","1,77",7851
2012/04,54546,"54,546","1,30",71
2012/05,0,0,"0,00",0
2012/06,0,0,"0,00",0
2012/07,129888,"129,888","2,33",302
2012/08,80147,"80,147","2,51",201
2012/09,267373,"267,373","2,10",541
2012/10,13426149,"13426,149","2,46",33054
2012/11,34899432,"34899,432","2,73",95125
2012/12,41044036,"41044,036","2,60",106825
2013/01,35777080,"35777,08","2,41",86241
2013/02,15977700,"15977,7","2,28",36487
2013/03,3521171,"3521,171","1,96",6891
2013/04,12000,12,"3,33",40
2013/05,36428,"36,428","2,47",90
2013/06,0,0,"0,00",0
2013/07,71832,"71,832","2,37",170
2013/08,55104,"55,104","2,01",111
2013/09,128904,"128,904","2,04",263
2013/10,9486608,"9486,608","2,61",24781
2013/11,47726160,"47726,16","2,75",131352
2013/12,63254604,"63254,604","2,58",163463
2014/01,51258020,"51258,02","2,35",120251
2014/02,37244704,"37244,704","2,28",85020
2014/03,12725555,"12725,555","1,90",24241
2014/04,1607066,"1607,066","0,97",1556
2014/05,515106,"515,106","0,67",346
2014/06,237206,"237,206","0,80",190
2014/07,89585,"89,585","0,59",53
2014/08,476919,"476,919","1,97",940
2014/09,3018704,"3018,704","2,25",6931
2014/10,23243908,"23243,908","2,40",55847
2014/11,60272256,"60272,256","2,61",157400
2014/12,75492992,"75492,992","2,52",190425
2015/01,66241012,"66241,012","2,11",139769
2015/02,34436120,"34436,12","1,89",64922
2015/03,11545090,"11545,09","1,69",19518
2015/04,1324755,"1324,755","0,82",1081
2015/05,552825,"552,825","0,65",362
2015/06,767704,"767,704","0,66",510
2015/07,752664,"752,664","0,71",533
2015/08,1174603,"1174,603","0,92",1083
2015/09,3521567,"3521,567","1,74",6116
2015/10,30511312,"30511,312","2,43",74015
2015/11,66702980,"66702,98","2,57",171273
2015/12,90456512,"90456,512","2,33",211197
2016/01,53286727,"53286,727","2,07",110394
2016/02,34614361,"34614,361","1,92",66592
2016/03,9684625,"9684,625","1,68",16285
2016/04,1253532,"1253,532","1,26",1577
2016/05,561525,"561,525","0,58",328
2016/06,66815,"66,815","1,80",120
2016/07,260948,"260,948","1,93",503
2016/08,1405863,"1405,863","1,81",2548
2016/09,4093321,"4093,321","2,00",8185
2016/10,24844667,"24844,667","2,26",56232
2016/11,64704524,"64704,524","2,41",156167
2016/12,90782395,"90782,395","2,50",227386
2017/01,64425214,"64425,214","2,14",137784
2017/02,38535215,"38535,215","1,83",70409
2017/03,15296528,"15296,528","1,33",20414
2017/04,1839814,"1839,814","1,18",2169
2017/05,59832,"59,832","1,99",119
2017/06,591169,"591,169","1,94",1149
2017/07,69864,"69,864","1,67",117
2017/08,972194,"972,194","2,16",2100
2017/09,1766097,"1766,097","2,27",4002
2017/10,12034580,"12034,58","2,69",32320
2017/11,42828977,"42828,977","2,85",121908
2017/12,91242318,"91242,318","2,86",260960
2018/01,65835436,"65835,436","2,45",161049
2018/02,31705318,"31705,318","2,19",69486
2018/03,7854586,"7854,586","1,95",15343
2018/04,1188763,"1188,763","1,57",1871
2018/05,99538,"99,538","2,68",267
2018/06,140548,"140,548","2,26",318
2018/07,607678,"607,678","2,05",1247
2018/08,1215144,"1215,144","2,06",2498
2018/09,2137751,"2137,751","1,97",4215
2018/10,25442216,"25442,216","2,49",63267
2018/11,70218814,"70218,814","2,45",171915
2018/12,115641629,"115641,629","2,35",271666
2019/01,89743185,"89743,185","2,16",194126
2019/02,42832916,"42832,916","1,96",83881
2019/03,7961623,"7961,623","1,69",13465
2019/04,1252012,"1252,012","1,51",1889
2019/05,82901,"82,901","1,70",141
2019/06,93480,"93,48","1,89",177
2019/07,518290,"518,29","2,07",1075
2019/08,1565249,"1565,249","2,05",3207
2019/09,4578660,"4578,66","2,21",10128
2019/10,31204558,"31204,558","2,33",72586
2019/11,62065157,"62065,157","2,52",156326
2019/12,106947835,"106947,835","2,57",274771
2020/01,97274886,"97274,886","2,37",230112
2020/02,55903572,"55903,572","1,86",103900
2020/03,9352051,"9352,051","1,46",13698
2020/04,653661,"653,661","1,64",1071
2020/05,195258,"195,258","1,71",334
2020/06,438330,"438,33","1,36",659
2020/07,1894102,"1894,102","1,75",3308
2020/08,2019568,"2019,568","1,70",3425
2020/09,3722333,"3722,333","2,07",7699
2020/10,31228672,"31228,672","2,55",79645
2020/11,79055475,"79055,475","2,55",201882
2020/12,133513733,"133513,733","2,59",345372
2021/01,119187096,"119187,096","2,36",281701
2021/02,66652817,"66652,817","2,11",140364
2021/03,10559499,"10559,499","2,14",22568
2021/04,743388,"743,388","2,25",1670
2021/05,592328,"592,328","2,56",1514
2021/06,837852,"837,852","2,24",1877
2021/07,2235484,"2235,484","2,03",4537
2021/08,2759119,"2759,119","1,99",5488
2021/09,4115752,"4115,752","2,11",8684
2021/10,31507028,"31507,028","2,56",80575
2021/11,97546318,"97546,318","2,59",252843
2021/12,153312378,"153312,378","2,57",393902
2022/01,112784402,"112784,402","2,39",338018
2022/02,78047151,"78047,151","2,26",175670
2022/03,17146178,"17146,178","2,40",41187
2022/04,4847935,"4847,935","2,79",13504
2022/05,1953246,"1953,246","2,25",4348
2022/06,1631705,"1631,705","2,09",3411
2022/07,2244960,"2244,96","1,96",4410
2022/08,2331896,"2331,896","2,08",4768
2022/09,3417522,"3417,522","2,07",7059
2022/10,39804942,"39804,942","2,45",97508
2022/11,102880167,"102880,167","2,47",254564
2022/12,159983061,"159983,061","2,52",403480
2023/01,126330134,"126330,134","2,43",307254
2023/02,115067177,"115067,177","2,23",256469
2023/03,30105422,"30105,422","2,21",66554
2023/04,4383223,"4383,223","2,87",12562
2023/05,1357321,"1357,321","2,31",3130
2023/06,1247608,"1247,608","2,01",2511
2023/07,1209024,"1209,024","2,35",2846
2023/08,1656708,"1656,708","2,55",4217
2023/09,12192298,"12192,298","2,62",31967
2023/10,73676093,"73676,093","2,92",215024
2023/11,133525213,"133525,213","3,02",403395
2023/12,147217174,"147217,174","2,99",439549